X, Function_0
0.000000	,1.529648
1024.000000	,3.274895
2048.000000	,6.362969
3072.000000	,9.821641
4096.000000	,12.634922
5120.000000	,15.660625
6144.000000	,19.231328
7168.000000	,22.107344
8192.000000	,25.163750
9216.000000	,28.311484
10240.000000,	31.166719
11264.000000,	34.582109
12288.000000,	37.614453
13312.000000,	40.841406
14336.000000,	44.437109
15360.000000,	46.855000
16384.000000,	49.682969
17408.000000,	52.715234
18432.000000,	56.047891
19456.000000,	58.864688
20480.000000,	62.048906
21504.000000,	64.755625
22528.000000,	67.953125
23552.000000,	70.398984
24576.000000,	73.597031
25600.000000,	76.126875
26624.000000,	79.112500
27648.000000,	82.116641
28672.000000,	84.592812
29696.000000,	87.670625
30720.000000,	90.138906
31744.000000,	93.160078
32768.000000,	95.765781
33792.000000,	98.707734
34816.000000,	101.407266
35840.000000,	104.123203
36864.000000,	106.881172
37888.000000,	109.138984
38912.000000,	111.948125
39936.000000,	114.058984
40960.000000,	117.081406
41984.000000,	119.228594
43008.000000,	121.981016
44032.000000,	124.098281
45056.000000,	126.654922
46080.000000,	128.716172
47104.000000,	131.160234
48128.000000,	133.481406
49152.000000,	135.614375
50176.000000,	137.864766
51200.000000,	140.272188
52224.000000,	142.487734
53248.000000,	144.271094
54272.000000,	146.605547
55296.000000,	149.019609
56320.000000,	150.821484
57344.000000,	152.878828
58368.000000,	154.861406
59392.000000,	156.959531
60416.000000,	158.917656
61440.000000,	160.938203
62464.000000,	162.667422
63488.000000,	164.783828
64512.000000,	166.741016
65536.000000,	168.438750
66560.000000,	170.418125
67584.000000,	172.366875
68608.000000,	173.998906
69632.000000,	175.732422
70656.000000,	177.336172
71680.000000,	178.938203
72704.000000,	180.690156
73728.000000,	182.223906
74752.000000,	183.835859
75776.000000,	185.235156
76800.000000,	186.847109
77824.000000,	188.377266
78848.000000,	189.898594
79872.000000,	191.085938
80896.000000,	192.832813
81920.000000,	194.121484
82944.000000,	195.411719
83968.000000,	196.347266
84992.000000,	197.981094
86016.000000,	199.328047
87040.000000,	200.467500
88064.000000,	201.742344
89088.000000,	202.844063
90112.000000,	203.952578
91136.000000,	205.022656
92160.000000,	206.398281
93184.000000,	207.631641
94208.000000,	208.784609
95232.000000,	209.841406
96256.000000,	210.977734
97280.000000,	211.891953
98304.000000,	212.773047
99328.000000,	213.755547
100352.000000,	214.949922
101376.000000,	215.809609
102400.000000,	216.419844
103424.000000,	217.519141
104448.000000,	218.439453
105472.000000,	219.207734
106496.000000,	220.140859
107520.000000,	220.942266
108544.000000,	221.692891
109568.000000,	222.337578
110592.000000,	223.286641
111616.000000,	223.878984
112640.000000,	224.560703
113664.000000,	225.306797
114688.000000,	225.994141
115712.000000,	226.713672
116736.000000,	227.401797
117760.000000,	228.036016
118784.000000,	228.378672
119808.000000,	229.142500
120832.000000,	229.702344
121856.000000,	230.318437
122880.000000,	230.962891
123904.000000,	231.574141
124928.000000,	232.102891
125952.000000,	232.438437
126976.000000,	233.102578
128000.000000,	233.531484
129024.000000,	233.929375
130048.000000,	234.557891
131072.000000,	234.731406
132096.000000,	235.366641
133120.000000,	235.790078
134144.000000,	236.269141
135168.000000,	236.679531
136192.000000,	237.012969
137216.000000,	237.427656
138240.000000,	237.772344
139264.000000,	238.177422
140288.000000,	238.412500
141312.000000,	238.896641
142336.000000,	239.200625
143360.000000,	239.543359
144384.000000,	239.786172
145408.000000,	240.111562
146432.000000,	240.495391
147456.000000,	240.740938
148480.000000,	241.290469
149504.000000,	241.302812
150528.000000,	241.610000
151552.000000,	241.816563
152576.000000,	242.175391
153600.000000,	242.526484
154624.000000,	242.772500
155648.000000,	242.986641
156672.000000,	243.229844
157696.000000,	243.400000
158720.000000,	243.568750
159744.000000,	243.934531
160768.000000,	244.182969
161792.000000,	244.388281
162816.000000,	244.343750
163840.000000,	244.709688
164864.000000,	245.019062
165888.000000,	245.106094
166912.000000,	245.222031
167936.000000,	245.371094
168960.000000,	245.586641
169984.000000,	245.771328
171008.000000,	245.940859
172032.000000,	246.110938
173056.000000,	246.203438
174080.000000,	246.385234
175104.000000,	246.524922
176128.000000,	246.692969
177152.000000,	246.738594
178176.000000,	247.031563
179200.000000,	247.098750
180224.000000,	247.087734
181248.000000,	247.302578
182272.000000,	247.336641
183296.000000,	247.563984
184320.000000,	247.636172
185344.000000,	247.663047
186368.000000,	247.865781
187392.000000,	247.916562
188416.000000,	248.039688
189440.000000,	248.149375
190464.000000,	248.146328
191488.000000,	248.163828
192512.000000,	248.222813
193536.000000,	248.551641
194560.000000,	248.543125
195584.000000,	248.484375
196608.000000,	248.639609
197632.000000,	248.828984
198656.000000,	248.778594
199680.000000,	248.913672
200704.000000,	248.936875
201728.000000,	248.856406
202752.000000,	249.140625
203776.000000,	249.215781
204800.000000,	249.139609
205824.000000,	249.245000
206848.000000,	249.410000
207872.000000,	249.425000
208896.000000,	249.510625
209920.000000,	249.471719
210944.000000,	249.546562
211968.000000,	249.478672
212992.000000,	249.624844
214016.000000,	249.645000
215040.000000,	249.714219
216064.000000,	249.692656
217088.000000,	249.827266
218112.000000,	249.977891
219136.000000,	249.815703
220160.000000,	249.860000
221184.000000,	250.091250
222208.000000,	249.914375
223232.000000,	249.946094
224256.000000,	250.106641
225280.000000,	250.020859
226304.000000,	250.159531
227328.000000,	250.018984
228352.000000,	250.097422
229376.000000,	250.106562
230400.000000,	250.234844
231424.000000,	250.223516
232448.000000,	250.154141
233472.000000,	250.356953
234496.000000,	250.189609
235520.000000,	250.311484
236544.000000,	250.195625
237568.000000,	250.422578
238592.000000,	250.355859
239616.000000,	250.304219
240640.000000,	250.402031
241664.000000,	250.466328
242688.000000,	250.374844
243712.000000,	250.582812
244736.000000,	250.508438
245760.000000,	250.471563
246784.000000,	250.478672
247808.000000,	250.488516
248832.000000,	250.574219
249856.000000,	250.648516
250880.000000,	250.628828
251904.000000,	250.719687
252928.000000,	250.516484
253952.000000,	250.637656
254976.000000,	250.653516
256000.000000,	250.713516
257024.000000,	250.691563
258048.000000,	250.681875
259072.000000,	250.715391
260096.000000,	250.712734
