X, Function_0
0.000000	,1.999560
1024.000000	,3.333769
2048.000000	,6.521250
3072.000000	,9.589219
4096.000000	,12.655000
5120.000000	,16.123906
6144.000000	,19.111719
7168.000000	,22.093906
8192.000000	,25.302578
9216.000000	,28.585313
10240.000000,	32.062891
11264.000000,	34.515313
12288.000000,	37.715547
13312.000000,	40.885703
14336.000000,	43.937656
15360.000000,	47.139531
16384.000000,	50.146250
17408.000000,	52.811875
18432.000000,	56.256406
19456.000000,	59.228203
20480.000000,	62.216563
21504.000000,	65.062266
22528.000000,	67.920547
23552.000000,	71.086406
24576.000000,	73.815234
25600.000000,	76.468125
26624.000000,	79.326250
27648.000000,	82.351875
28672.000000,	85.329453
29696.000000,	87.615312
30720.000000,	90.343437
31744.000000,	93.263750
32768.000000,	96.128203
33792.000000,	98.837422
34816.000000,	101.559609
35840.000000,	104.197109
36864.000000,	106.910000
37888.000000,	109.245547
38912.000000,	111.685547
39936.000000,	114.049297
40960.000000,	116.622500
41984.000000,	118.936328
43008.000000,	121.530859
44032.000000,	123.945859
45056.000000,	126.017578
46080.000000,	128.980937
47104.000000,	131.121953
48128.000000,	133.147422
49152.000000,	135.459453
50176.000000,	137.753359
51200.000000,	139.723906
52224.000000,	142.090469
53248.000000,	144.056328
54272.000000,	146.251953
55296.000000,	148.293359
56320.000000,	150.352656
57344.000000,	152.505625
58368.000000,	154.108047
59392.000000,	156.452969
60416.000000,	158.288594
61440.000000,	160.082500
62464.000000,	162.176250
63488.000000,	163.984922
64512.000000,	165.712031
65536.000000,	167.573125
66560.000000,	169.467344
67584.000000,	171.476484
68608.000000,	173.003672
69632.000000,	174.609688
70656.000000,	176.366094
71680.000000,	178.226328
72704.000000,	179.615703
73728.000000,	181.306016
74752.000000,	182.703828
75776.000000,	184.165859
76800.000000,	185.636563
77824.000000,	186.999766
78848.000000,	188.489297
79872.000000,	189.920625
80896.000000,	191.303125
81920.000000,	192.744766
82944.000000,	193.949141
83968.000000,	195.246953
84992.000000,	196.477422
86016.000000,	197.711016
87040.000000,	198.792109
88064.000000,	200.337734
89088.000000,	201.282891
90112.000000,	202.599844
91136.000000,	203.737422
92160.000000,	205.034297
93184.000000,	206.021719
94208.000000,	206.931719
95232.000000,	208.181406
96256.000000,	209.079844
97280.000000,	210.203047
98304.000000,	211.123828
99328.000000,	212.240469
100352.000000,	213.153984
101376.000000,	213.902266
102400.000000,	214.906250
103424.000000,	215.749219
104448.000000,	216.657031
105472.000000,	217.294375
106496.000000,	218.122187
107520.000000,	219.068047
108544.000000,	219.877266
109568.000000,	220.538984
110592.000000,	221.398047
111616.000000,	222.028984
112640.000000,	222.709531
113664.000000,	223.352422
114688.000000,	224.013438
115712.000000,	224.801953
116736.000000,	225.283750
117760.000000,	226.033359
118784.000000,	226.647891
119808.000000,	227.232578
120832.000000,	227.694219
121856.000000,	228.290391
122880.000000,	229.005859
123904.000000,	229.347187
124928.000000,	230.028828
125952.000000,	230.445547
126976.000000,	231.092969
128000.000000,	231.537422
129024.000000,	231.987344
130048.000000,	232.464375
131072.000000,	233.027500
132096.000000,	233.286875
133120.000000,	233.884531
134144.000000,	234.396406
135168.000000,	234.770391
136192.000000,	234.970078
137216.000000,	235.400703
138240.000000,	235.832344
139264.000000,	236.384688
140288.000000,	236.490156
141312.000000,	237.009453
142336.000000,	237.319531
143360.000000,	237.654141
144384.000000,	238.007422
145408.000000,	238.402187
146432.000000,	238.860625
147456.000000,	239.079375
148480.000000,	239.328203
149504.000000,	239.456797
150528.000000,	239.909375
151552.000000,	240.218984
152576.000000,	240.457812
153600.000000,	240.800781
154624.000000,	240.996328
155648.000000,	241.307344
156672.000000,	241.599766
157696.000000,	241.745313
158720.000000,	241.917969
159744.000000,	242.294531
160768.000000,	242.460078
161792.000000,	242.596328
162816.000000,	242.749531
163840.000000,	243.109922
164864.000000,	243.338047
165888.000000,	243.553125
166912.000000,	243.674687
167936.000000,	243.848828
168960.000000,	243.959297
169984.000000,	244.133281
171008.000000,	244.353438
172032.000000,	244.481016
173056.000000,	244.658203
174080.000000,	244.761328
175104.000000,	244.989922
176128.000000,	245.245234
177152.000000,	245.393047
178176.000000,	245.479141
179200.000000,	245.586953
180224.000000,	245.728203
181248.000000,	245.878281
182272.000000,	245.959766
183296.000000,	246.192187
184320.000000,	246.292266
185344.000000,	246.399453
186368.000000,	246.467422
187392.000000,	246.702500
188416.000000,	246.724063
189440.000000,	246.830391
190464.000000,	246.819375
191488.000000,	246.887578
192512.000000,	247.200938
193536.000000,	247.113750
194560.000000,	247.171406
195584.000000,	247.446562
196608.000000,	247.614219
197632.000000,	247.577656
198656.000000,	247.597891
199680.000000,	247.713437
200704.000000,	247.889297
201728.000000,	247.876406
202752.000000,	248.077969
203776.000000,	248.027031
204800.000000,	248.084141
205824.000000,	248.157344
206848.000000,	248.235703
207872.000000,	248.351641
208896.000000,	248.245078
209920.000000,	248.257812
210944.000000,	248.514844
