Measurement: #16
Date: 2025-07-16T16:16:27.5431787+02:00
MLIC serial number: 26607
Comments: 
Calibration info: [2025-07-16 15:17:52]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: n/a
Snout distance: n/a
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: SingleScattering
Sampling time: 100 [ms]
Number of samples: 26
Measurement mode: TriggerMode
Measurement time: (n/a)
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 1
Curve depth: [mm]
1.867;3.716;5.564;7.413;9.261;11.109;12.958;14.806;16.655;18.503;20.351;22.200;24.048;25.897;27.745;29.593;31.442;33.290;35.139;36.987;38.835;40.684;42.532;44.381;46.229;48.077;49.926;51.774;53.623;55.471;57.319;59.168;61.016;62.865;64.713;66.561;68.410;70.258;72.107;73.955;75.803;77.652;79.500;81.349;83.197;85.045;86.894;88.742;90.591;92.439;94.287;96.136;97.984;99.833;101.681;103.529;105.378;107.226;109.075;110.923;112.771;114.620;116.468;118.317;120.165;122.013;123.862;125.710;127.559;129.407;131.255;133.104;134.952;136.801;138.649;140.497;142.346;144.194;146.043;147.891;149.739;151.588;153.436;155.285;157.133;158.981;160.830;162.678;164.527;166.375;168.223;170.072;171.920;173.769;175.617;177.465;179.314;181.162;183.011;184.859;186.707;188.556;190.404;192.253;194.101;195.949;197.798;199.646;201.495;203.343;205.191;207.040;208.888;210.737;212.585;214.433;216.282;218.130;219.979;221.827;223.675;225.524;227.372;229.221;231.069;232.917;234.766;236.614;238.463;240.311;242.159;244.008;245.856;247.705;249.553;251.401;253.250;255.098;256.947;258.795;260.643;262.492;264.340;266.189;268.037;269.885;271.734;273.582;275.431;277.279;279.127;280.976;282.824;284.673;286.521;288.369;290.218;292.066;293.915;295.763;297.611;299.460;301.308;303.157;305.005;306.853;308.702;310.550;312.399;314.247;316.095;317.944;319.792;321.641;323.489;325.337;327.186;329.034;330.883;332.731
Curve gains: [counts]
15256.487;15221.357;15253.732;15315.231;15495.979;15578.263;15710.879;15768.623;15812.712;15989.956;16110.523;16255.916;16339.188;16502.402;16599.270;16725.961;16886.081;17032.863;17111.416;17317.657;17367.598;17565.813;17690.135;17807.449;17943.891;18204.162;18349.036;18536.344;18672.936;18904.060;19087.894;19329.848;19556.608;19824.226;20095.663;20334.218;20639.577;20982.609;21296.785;21777.461;22113.184;22660.468;23109.762;23696.156;24190.535;24852.799;25664.360;26579.673;27613.504;28795.674;30302.284;32039.844;34273.648;37442.439;41503.230;48360.662;58491.654;62257.904;42046.493;14412.861;2420.708;753.007;763.839;796.639;977.269;759.167;312.922;0.000;21.425;8.437;0.000;0.000;17.545;0.000;0.000;0.000;0.000;0.000;13.461;13.420;11.451;13.422;12.815;0.000;0.000;0.000;0.000;11.393;11.681;10.491;10.898;9.874;13.009;9.533;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;6.255;2.704;0.000;2.756;0.000;0.000;0.000;0.000;6.072;0.000;0.000;0.000;0.000;5.321;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.345;0.000;3.537;0.000;3.649;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.920;2.933;0.000;3.898;0.000;0.000;0.000;0.000;1.928;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000

Samples: 26
