Measurement: #17
Date: 2025-07-16T16:17:09.2741941+02:00
MLIC serial number: 26607
Comments: 
Calibration info: [2025-07-16 15:17:52]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: n/a
Snout distance: n/a
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: SingleScattering
Sampling time: 100 [ms]
Number of samples: 38
Measurement mode: TriggerMode
Measurement time: (n/a)
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 1
Curve depth: [mm]
1.867;3.716;5.564;7.413;9.261;11.109;12.958;14.806;16.655;18.503;20.351;22.200;24.048;25.897;27.745;29.593;31.442;33.290;35.139;36.987;38.835;40.684;42.532;44.381;46.229;48.077;49.926;51.774;53.623;55.471;57.319;59.168;61.016;62.865;64.713;66.561;68.410;70.258;72.107;73.955;75.803;77.652;79.500;81.349;83.197;85.045;86.894;88.742;90.591;92.439;94.287;96.136;97.984;99.833;101.681;103.529;105.378;107.226;109.075;110.923;112.771;114.620;116.468;118.317;120.165;122.013;123.862;125.710;127.559;129.407;131.255;133.104;134.952;136.801;138.649;140.497;142.346;144.194;146.043;147.891;149.739;151.588;153.436;155.285;157.133;158.981;160.830;162.678;164.527;166.375;168.223;170.072;171.920;173.769;175.617;177.465;179.314;181.162;183.011;184.859;186.707;188.556;190.404;192.253;194.101;195.949;197.798;199.646;201.495;203.343;205.191;207.040;208.888;210.737;212.585;214.433;216.282;218.130;219.979;221.827;223.675;225.524;227.372;229.221;231.069;232.917;234.766;236.614;238.463;240.311;242.159;244.008;245.856;247.705;249.553;251.401;253.250;255.098;256.947;258.795;260.643;262.492;264.340;266.189;268.037;269.885;271.734;273.582;275.431;277.279;279.127;280.976;282.824;284.673;286.521;288.369;290.218;292.066;293.915;295.763;297.611;299.460;301.308;303.157;305.005;306.853;308.702;310.550;312.399;314.247;316.095;317.944;319.792;321.641;323.489;325.337;327.186;329.034;330.883;332.731
Curve gains: [counts]
15203.121;15144.614;15158.058;15210.125;15360.441;15415.477;15523.305;15549.931;15597.022;15712.059;15797.121;15916.742;15985.795;16092.179;16149.075;16245.330;16350.688;16449.199;16489.895;16609.451;16633.751;16754.517;16835.425;16874.773;16961.199;17114.806;17202.616;17287.585;17360.440;17472.431;17566.813;17665.443;17785.187;17884.476;18022.785;18075.679;18231.733;18356.415;18476.393;18642.445;18776.914;18933.528;19090.749;19291.078;19449.137;19605.925;19811.828;20014.786;20229.020;20408.909;20694.910;20927.122;21184.135;21520.701;21752.796;22148.454;22485.471;22895.534;23303.180;23771.472;24267.003;24793.612;25363.479;25921.331;26744.644;27628.742;28627.687;29793.381;31163.987;32836.984;34937.827;37555.520;41116.963;46543.155;54076.634;60853.381;56943.008;37595.599;15484.569;3711.038;790.493;520.807;562.054;555.879;427.054;12.928;78.566;35.134;26.562;24.445;23.725;23.299;26.017;21.625;22.085;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;13.471;0.000;0.000;0.000;0.000;0.000;0.000;13.413;13.708;0.000;13.908;7.836;0.000;0.000;0.722;12.145;0.000;0.000;0.000;0.000;10.641;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;9.491;0.000;0.000;0.000;0.000;9.792;0.000;8.871;0.000;7.298;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;7.893;6.840;8.867;0.000;7.797;0.000;0.000;0.000;0.000;6.857;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;6.867;0.000;0.000;0.000;0.000;0.000

Samples: 38
