Measurement: #19
Date: 2025-07-16T16:19:06.8010723+02:00
MLIC serial number: 26607
Comments: 
Calibration info: [2025-07-16 15:17:52]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: n/a
Snout distance: n/a
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: SingleScattering
Sampling time: 100 [ms]
Number of samples: 22
Measurement mode: TriggerMode
Measurement time: (n/a)
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 1
Curve depth: [mm]
1.867;3.716;5.564;7.413;9.261;11.109;12.958;14.806;16.655;18.503;20.351;22.200;24.048;25.897;27.745;29.593;31.442;33.290;35.139;36.987;38.835;40.684;42.532;44.381;46.229;48.077;49.926;51.774;53.623;55.471;57.319;59.168;61.016;62.865;64.713;66.561;68.410;70.258;72.107;73.955;75.803;77.652;79.500;81.349;83.197;85.045;86.894;88.742;90.591;92.439;94.287;96.136;97.984;99.833;101.681;103.529;105.378;107.226;109.075;110.923;112.771;114.620;116.468;118.317;120.165;122.013;123.862;125.710;127.559;129.407;131.255;133.104;134.952;136.801;138.649;140.497;142.346;144.194;146.043;147.891;149.739;151.588;153.436;155.285;157.133;158.981;160.830;162.678;164.527;166.375;168.223;170.072;171.920;173.769;175.617;177.465;179.314;181.162;183.011;184.859;186.707;188.556;190.404;192.253;194.101;195.949;197.798;199.646;201.495;203.343;205.191;207.040;208.888;210.737;212.585;214.433;216.282;218.130;219.979;221.827;223.675;225.524;227.372;229.221;231.069;232.917;234.766;236.614;238.463;240.311;242.159;244.008;245.856;247.705;249.553;251.401;253.250;255.098;256.947;258.795;260.643;262.492;264.340;266.189;268.037;269.885;271.734;273.582;275.431;277.279;279.127;280.976;282.824;284.673;286.521;288.369;290.218;292.066;293.915;295.763;297.611;299.460;301.308;303.157;305.005;306.853;308.702;310.550;312.399;314.247;316.095;317.944;319.792;321.641;323.489;325.337;327.186;329.034;330.883;332.731
Curve gains: [counts]
15294.022;15224.100;15215.254;15260.472;15379.002;15431.907;15506.228;15516.437;15559.936;15620.795;15684.553;15783.638;15835.759;15893.287;15938.231;15985.329;16050.748;16118.054;16118.980;16188.664;16185.446;16262.018;16302.118;16295.142;16346.315;16435.881;16470.765;16483.735;16515.791;16582.644;16602.000;16626.540;16693.930;16718.743;16770.306;16760.517;16834.875;16874.251;16911.042;16961.618;17022.021;17083.480;17097.368;17172.087;17217.568;17236.027;17305.888;17349.836;17404.048;17412.019;17505.368;17536.869;17587.859;17672.992;17688.921;17794.851;17847.108;17907.420;17974.020;18041.458;18097.790;18171.053;18243.403;18268.291;18394.038;18477.611;18535.842;18622.595;18705.539;18798.098;19222.935;19014.175;19067.194;19345.779;19307.563;19378.113;19503.389;19751.153;19749.920;19859.994;19948.942;20152.741;20240.559;20426.555;20544.301;20941.703;20916.683;21115.492;21236.084;21502.112;21637.313;21911.787;22136.251;22436.194;22609.764;23052.990;23255.936;23598.838;24306.456;25143.208;24833.232;25249.772;25583.246;26215.807;26713.102;27395.657;27998.643;29230.679;29959.202;30926.594;32347.819;33504.349;35464.117;37637.604;40349.923;44141.478;49038.309;54434.757;58338.337;54775.812;43690.133;27537.166;13096.229;4477.868;1289.679;444.091;285.802;33.649;170.030;0.000;0.000;37.116;34.993;18.937;28.642;31.337;0.000;27.301;0.000;0.000;0.000;0.000;26.390;0.000;24.194;24.119;22.165;0.000;0.942;21.995;20.971;23.600;0.000;0.000;19.945;19.947;17.920;22.933;0.000;18.898;16.933;0.000;0.000;0.000;16.928;0.000;0.000;0.000;16.932;0.000;0.000;0.000;0.000;0.000;15.933;0.000;14.935;0.000;0.000;0.000

Samples: 22
