0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.928;0.947;0.938;0.955;0.937;0.952;0.942;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.943;0.000;0.000;0.000;0.947;0.000;0.943;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.815;0.953;0.000;0.000;0.000;0.000;0.945;0.000;0.000;0.945;0.800;0.942;0.000;0.000;0.000;0.937;0.000;0.000;0.000;0.942;0.000;0.000;0.000;0.000;0.000;0.000;0.952;0.000;0.947;0.000;0.948;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.943;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.943;0.937;0.932;0.942;0.000;0.942;0.000;0.938;0.000;0.000;0.000;0.933;0.000;0.000;0.000;0.000;0.000;0.000;0.937;0.000;0.935;0.000;0.000;0.000;0.932;0.932;0.000;0.932;0.000;0.000;0.000;0.937;0.937;0.000;0.000;0.000;0.000;0.935;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.800;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.940;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.898;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.947;0.935;0.000;0.938;0.952;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.950;0.000;0.000;0.947;0.000;0.935;0.945;0.000;0.947;0.000;0.945;0.000;0.000;0.933;0.942;0.000;0.000;0.938;0.000;0.948;0.000;0.000;0.943;0.000;0.947;0.000;0.000;0.950;0.950;0.000;0.953;0.815;0.000;0.000;0.945;0.948;0.000;0.000;0.947;0.943;0.000;0.800;0.000;0.920;0.947;0.942;0.000;0.942;0.938;0.000;0.000;0.948;0.000;0.948;0.947;0.958;0.948;0.000;0.000;0.000;0.945;0.000;0.000;0.948;0.948;0.948;0.000;0.000;0.947;0.000;0.947;0.945;0.945;0.963;0.943;0.000;0.000;0.000;0.000;0.000;0.000;0.933;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.937;0.940;0.938;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.932;0.000;0.887;0.000;0.947;0.000;0.000;0.938;0.000;0.000;0.935;0.000;0.942;0.935;0.000;0.000;0.000;0.000;0.935;0.932;0.945;0.000;0.922;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.800;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
32.947;36.935;35.945;38.938;35.952;35.928;37.947;35.938;43.955;36.937;38.952;33.942;37.950;38.937;40.957;37.947;40.950;32.935;45.945;34.940;39.947;37.933;40.945;43.938;38.943;38.933;39.942;37.942;44.947;35.938;42.943;40.948;41.952;37.940;40.943;33.945;39.947;55.940;46.953;38.950;43.950;23.955;40.953;38.815;44.953;39.952;39.945;38.948;42.950;41.945;41.947;41.943;43.945;41.800;44.942;46.920;38.947;42.942;44.937;46.942;42.938;44.947;44.942;39.948;48.943;62.948;40.947;23.958;65.948;42.952;33.947;61.947;39.945;32.948;41.945;49.948;47.948;39.948;50.942;54.947;44.947;46.943;46.947;48.945;49.945;18.963;69.943;46.945;41.947;50.943;44.937;50.932;30.942;53.933;44.942;56.933;67.938;46.933;53.937;43.935;53.933;47.930;50.937;50.940;51.938;56.935;53.942;56.937;55.940;56.935;56.937;60.935;54.940;63.932;63.932;58.932;65.932;63.887;61.910;67.947;88.937;69.937;72.938;89.935;88.938;79.935;105.935;85.942;132.935;0.000;0.000;169.937;86.932;56.935;29.932;5.945;0.000;0.922;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
31.947;35.935;33.945;37.938;34.952;35.928;38.947;35.938;44.955;35.937;38.952;33.942;36.950;37.937;39.957;36.947;39.950;31.935;44.945;33.940;39.947;36.933;40.945;43.938;38.943;37.933;38.942;36.942;44.947;34.938;42.943;40.948;40.952;36.940;39.943;33.945;38.947;55.940;45.953;37.950;43.950;22.955;40.953;37.815;44.953;39.952;39.945;37.948;42.950;41.945;39.947;40.943;43.945;40.800;44.942;45.920;38.947;41.942;44.937;46.942;42.938;44.947;44.942;38.948;48.943;61.948;40.947;22.958;64.948;42.952;33.947;61.947;38.945;32.948;41.945;48.948;47.948;38.948;49.942;53.947;43.947;46.943;45.947;48.945;48.945;17.963;67.943;46.945;40.947;50.943;44.937;49.932;29.942;51.933;45.942;56.933;67.938;46.933;54.937;44.935;52.933;47.930;49.937;50.940;50.938;55.935;53.942;56.937;54.940;56.935;56.937;59.935;54.940;63.932;63.932;57.932;65.932;63.887;61.910;64.947;89.937;69.937;71.938;88.935;89.938;78.935;106.935;84.942;134.935;0.000;0.000;169.937;87.932;57.935;30.932;5.945;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.935;0.945;0.938;0.000;0.000;0.000;0.000;0.000;0.937;0.000;0.942;0.950;0.937;0.957;0.947;0.950;0.000;0.945;0.940;0.000;0.933;0.000;0.000;0.000;0.933;0.942;0.000;0.000;0.000;0.000;0.000;0.952;0.940;0.000;0.000;0.000;0.000;0.953;0.950;0.000;0.955;0.000;0.000;0.000;0.952;0.000;0.948;0.000;0.000;0.947;0.943;0.000;0.000;0.942;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.942;0.000;0.000;0.000;0.000;0.958;0.000;0.000;0.000;0.947;0.945;0.948;0.000;0.000;0.000;0.000;0.942;0.000;0.000;0.943;0.947;0.000;0.945;0.963;0.943;0.000;0.947;0.000;0.000;0.932;0.942;0.933;0.000;0.000;0.938;0.000;0.000;0.000;0.933;0.000;0.937;0.940;0.000;0.000;0.000;0.937;0.000;0.935;0.937;0.000;0.000;0.932;0.932;0.000;0.000;0.000;0.000;0.000;0.937;0.937;0.938;0.000;0.000;0.000;0.935;0.000;0.000;0.000;0.000;0.000;0.932;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1981.947;2208.935;2091.945;2345.938;2138.952;2172.928;2331.947;2193.938;2673.955;2225.937;2337.952;2083.942;2296.950;2293.937;2434.957;2295.947;2417.950;1956.935;2755.945;2076.940;2430.947;2246.933;2481.945;2602.938;2344.943;2336.933;2406.942;2232.942;2704.947;2132.938;2609.943;2474.948;2491.952;2229.940;2440.943;2054.945;2376.947;3314.940;2781.953;2348.950;2655.950;1450.955;2498.953;2277.815;2719.953;2424.952;2413.945;2346.948;2562.950;2534.945;2484.947;2513.943;2635.945;2456.800;2744.942;2785.920;2371.947;2554.942;2713.937;2824.942;2583.938;2688.947;2708.942;2375.948;2923.943;3738.948;2454.947;1474.958;3890.948;2610.952;2042.947;3732.947;2387.945;2037.948;2520.945;2998.948;2885.948;2406.948;3011.942;3227.947;2677.947;2868.943;2820.947;2928.945;3009.945;1201.963;4116.943;2795.945;2500.947;3075.943;2715.937;3025.932;1874.942;3183.933;2746.942;3350.933;4085.938;2813.933;3254.937;2666.935;3242.933;2878.930;3035.937;3084.940;3105.938;3345.935;3224.942;3428.937;3329.940;3446.935;3394.937;3587.935;3269.940;3860.932;3841.932;3505.932;3941.932;3820.887;3684.910;3983.947;5382.937;4211.937;4366.938;5325.935;5322.938;4753.935;6388.935;5079.942;7966.935;4743.948;7801.937;9963.937;5181.932;3430.935;1849.932;412.945;0.000;51.922;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6541.947;7278.935;6899.945;7727.938;7046.952;7157.928;7679.947;7224.938;8795.955;7329.937;7703.952;6877.942;7578.950;7554.937;8017.957;7566.947;7961.950;6465.935;9059.945;6852.940;8001.947;7406.933;8168.945;8569.938;7723.943;7691.933;7932.942;7357.942;8891.947;7037.938;8595.943;8148.948;8203.952;7348.940;8039.943;6784.945;7831.947;10870.940;9149.953;7730.950;8743.950;4828.955;8226.953;7509.815;8946.953;7983.952;7946.945;7734.948;8434.950;8341.945;8180.947;8276.943;8677.945;8089.800;9021.942;9154.920;7816.947;8402.942;8920.937;9292.942;8506.938;8852.947;8911.942;7832.948;9621.943;12261.948;8095.947;4915.958;12761.948;8598.952;6752.947;12248.947;7875.945;6744.948;8302.945;9857.948;9485.948;7933.948;9900.942;10598.947;8806.947;9438.943;9279.947;9634.945;9896.945;4041.963;13515.943;9204.945;8242.947;10107.943;8929.937;9944.932;6210.942;10455.933;9035.942;10998.933;13406.938;9253.933;10688.937;8777.935;10656.933;9467.930;9982.937;10136.940;10207.938;10983.935;10599.942;11256.937;10934.940;11318.935;11158.937;11782.935;10745.940;12669.932;12603.932;11503.932;12940.932;12537.887;12105.910;13071.947;17630.937;13822.937;14328.938;17446.935;17438.938;15593.935;20922.935;16661.942;26083.935;15675.948;26321.937;32581.937;16973.932;11259.935;6088.932;1420.945;42.938;223.922;0.000;0.000;0.000;0.000;9.942;0.000;4.938;0.947;0.942;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.933;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
