Measurement: #20
Date: 2025-07-16T16:19:45.4586923+02:00
MLIC serial number: 26607
Comments: 
Calibration info: [2025-07-16 15:17:52]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: n/a
Snout distance: n/a
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: SingleScattering
Sampling time: 100 [ms]
Number of samples: 22
Measurement mode: TriggerMode
Measurement time: (n/a)
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: NormalBP
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 1
Curve depth: [mm]
1.867;3.716;5.564;7.413;9.261;11.109;12.958;14.806;16.655;18.503;20.351;22.200;24.048;25.897;27.745;29.593;31.442;33.290;35.139;36.987;38.835;40.684;42.532;44.381;46.229;48.077;49.926;51.774;53.623;55.471;57.319;59.168;61.016;62.865;64.713;66.561;68.410;70.258;72.107;73.955;75.803;77.652;79.500;81.349;83.197;85.045;86.894;88.742;90.591;92.439;94.287;96.136;97.984;99.833;101.681;103.529;105.378;107.226;109.075;110.923;112.771;114.620;116.468;118.317;120.165;122.013;123.862;125.710;127.559;129.407;131.255;133.104;134.952;136.801;138.649;140.497;142.346;144.194;146.043;147.891;149.739;151.588;153.436;155.285;157.133;158.981;160.830;162.678;164.527;166.375;168.223;170.072;171.920;173.769;175.617;177.465;179.314;181.162;183.011;184.859;186.707;188.556;190.404;192.253;194.101;195.949;197.798;199.646;201.495;203.343;205.191;207.040;208.888;210.737;212.585;214.433;216.282;218.130;219.979;221.827;223.675;225.524;227.372;229.221;231.069;232.917;234.766;236.614;238.463;240.311;242.159;244.008;245.856;247.705;249.553;251.401;253.250;255.098;256.947;258.795;260.643;262.492;264.340;266.189;268.037;269.885;271.734;273.582;275.431;277.279;279.127;280.976;282.824;284.673;286.521;288.369;290.218;292.066;293.915;295.763;297.611;299.460;301.308;303.157;305.005;306.853;308.702;310.550;312.399;314.247;316.095;317.944;319.792;321.641;323.489;325.337;327.186;329.034;330.883;332.731
Curve gains: [counts]
15355.630;15278.296;15279.293;15321.353;15436.493;15482.915;15554.900;15565.329;15608.904;15668.359;15721.787;15831.782;15873.978;15933.640;15964.813;16017.364;16071.405;16144.729;16136.418;16202.342;16190.848;16263.973;16292.356;16290.911;16324.688;16412.140;16447.691;16455.877;16481.970;16536.635;16546.302;16570.430;16629.895;16642.165;16691.792;16680.641;16737.880;16766.517;16799.929;16843.356;16891.325;16952.222;16945.226;17012.796;17045.450;17058.186;17115.183;17153.416;17184.647;17182.825;17261.243;17288.662;17318.734;17388.989;17390.556;17483.085;17525.910;17562.415;17617.274;17662.610;17716.845;17756.080;17814.684;17826.864;17923.941;17977.258;18021.637;18101.649;18125.942;18212.828;18597.925;18361.037;18388.882;18645.794;18566.482;18599.822;18693.257;18899.906;18856.690;18923.422;18976.977;19123.136;19161.807;19298.266;19354.534;19697.238;19594.054;19730.536;19771.024;19953.552;19998.169;20179.407;20301.705;20489.095;20547.491;20848.960;20910.324;21115.134;21591.321;22197.909;21748.223;21933.724;22018.597;22326.376;22511.822;22826.726;23012.801;24024.847;23869.524;24086.659;24569.400;24714.682;25235.402;25690.516;26122.963;26775.223;27326.786;27993.072;29327.237;29667.558;30520.222;31769.779;33126.200;34718.645;36651.946;39016.265;42146.755;46757.902;51408.357;56491.501;57162.359;51391.449;38282.458;22884.676;10630.230;3854.965;571.018;407.861;0.000;81.319;45.372;0.000;61.533;0.000;36.658;35.618;34.092;0.000;33.843;32.050;31.430;32.600;0.000;29.890;29.890;29.893;27.840;32.800;27.877;27.797;27.867;0.000;0.000;0.000;23.857;5.932;0.000;0.000;23.863;0.000;0.000;20.870;0.000;0.000;21.867;0.000;20.870;0.000;0.000;0.000

Samples: 22
